rank;code;fr_name;fr_release;en_name;us_release;jap_name;jap_release;classic_size;full_size;category;fr_url;en_url;symbol_url;bloc_code
15;xy11;Offensive Vapeur;16/08/2016;Steam Siege;03/08/2016;;;114;;;https://www.pokecardex.com/assets/images/logos/STS.png;https://images.pokemontcg.io/xy11/logo.png;https://images.pokemontcg.io/xy11/symbol.png;XY
14;xy10;Impact des Destins;07/05/2016;Fates Collide;02/05/2016;;;124;;;https://www.pokecardex.com/assets/images/logos/FAC.png;https://images.pokemontcg.io/xy10/logo.png;https://images.pokemontcg.io/xy10/symbol.png;XY
13;g1;Générations;19/03/2016;Generations;22/02/2016;;;115;;;https://www.pokecardex.com/assets/images/logos/GNR.png;https://images.pokemontcg.io/g1/logo.png;https://images.pokemontcg.io/g1/symbol.png;XY
12;xy9;Rupture Turbo;06/02/2016;BREAKpoint;03/02/2016;;;122;;;https://www.pokecardex.com/assets/images/logos/BKP.png;https://images.pokemontcg.io/xy9/logo.png;https://images.pokemontcg.io/xy9/symbol.png;XY
11;xy8;Impulsion Turbo;07/11/2015;BREAKthrough;04/11/2015;;;162;;;https://www.pokecardex.com/assets/images/logos/BKT.png;https://images.pokemontcg.io/xy8/logo.png;https://images.pokemontcg.io/xy8/symbol.png;XY
10;xy7;Origines Antiques;22/08/2015;Ancient Origins;12/08/2015;;;98;;;https://www.pokecardex.com/assets/images/logos/AOR.png;https://images.pokemontcg.io/xy7/logo.png;https://images.pokemontcg.io/xy7/symbol.png;XY
9;xy6;Ciel Rugissant;23/05/2015;Roaring Skies;06/05/2015;;;108;;;https://www.pokecardex.com/assets/images/logos/ROS.png;https://images.pokemontcg.io/xy6/logo.png;https://images.pokemontcg.io/xy6/symbol.png;XY
8;dc1;Double Danger;22/08/2015;Double Crisis;25/03/2015;;;34;;;https://assets.pokemon.com/assets/cms2-fr-fr/img/trading-card-game/series/xy_series/xy-double-crisis/double-crisis-logo-169-fr.png;https://images.pokemontcg.io/dc1/logo.png;https://images.pokemontcg.io/dc1/symbol.png;XY
7;xy5;Primo Choc;21/02/2015;Primal Clash;04/02/2015;;;160;;;https://www.pokecardex.com/assets/images/logos/PRC.png;https://images.pokemontcg.io/xy5/logo.png;https://images.pokemontcg.io/xy5/symbol.png;XY
6;xy4;Vigueur Spectrale;08/11/2014;Phantom Forces;05/11/2014;;;119;;;https://www.pokecardex.com/assets/images/logos/PHF.png;https://images.pokemontcg.io/xy4/logo.png;https://images.pokemontcg.io/xy4/symbol.png;XY
5;xy3;Poings Furieux;23/08/2014;Furious Fists;13/08/2014;;;111;;;https://www.pokecardex.com/assets/images/logos/FFI.png;https://images.pokemontcg.io/xy3/logo.png;https://images.pokemontcg.io/xy3/symbol.png;XY
4;xy2;Étincelles;27/05/2014;Flashfire;07/05/2014;;;106;;;https://www.pokecardex.com/assets/images/logos/FLF.png;https://images.pokemontcg.io/xy2/logo.png;https://images.pokemontcg.io/xy2/symbol.png;XY
3;xy1;XY;22/02/2014;XY;05/02/2014;;;146;;;https://www.pokecardex.com/assets/images/logos/XY.png;https://images.pokemontcg.io/xy1/logo.png;https://images.pokemontcg.io/xy1/symbol.png;XY
2;xy0;Bienvenue à Kalos;08/11/2013;Kalos Starter Set;08/11/2013;;;39;;;https://www.pokecardex.com/assets/images/logos/KSS.png;https://images.pokemontcg.io/xy0/logo.png;https://images.pokemontcg.io/xy0/symbol.png;XY
1;xyp;XY Promos;12/10/2013;XY Black Star Promos;12/10/2013;;;183;;;https://www.pokecardex.com/assets/images/logos/XY.png;https://images.pokemontcg.io/xyp/logo.png;https://images.pokemontcg.io/xyp/symbol.png;XY
13;bw11;Legendary Treasures;06/11/2013;Legendary Treasures;06/11/2013;;;113;;;https://images.pokemontcg.io/bw11/logo.png;https://images.pokemontcg.io/bw11/logo.png;https://images.pokemontcg.io/bw11/symbol.png;BW
12;bw10;Explosion Plasma;06/11/2013;Plasma Blast;14/08/2013;;;101;;;https://www.pokecardex.com/assets/images/logos/PLB.png;https://images.pokemontcg.io/bw10/logo.png;https://images.pokemontcg.io/bw10/symbol.png;BW
11;bw9;Glaciation Plasma;14/08/2013;Plasma Freeze;08/05/2013;;;116;;;https://www.pokecardex.com/assets/images/logos/PLF.png;https://images.pokemontcg.io/bw9/logo.png;https://images.pokemontcg.io/bw9/symbol.png;BW
10;bw8;Tempête Plasma;08/05/2013;Plasma Storm;06/02/2013;;;135;;;https://www.pokecardex.com/assets/images/logos/PLS.png;https://images.pokemontcg.io/bw8/logo.png;https://images.pokemontcg.io/bw8/symbol.png;BW
9;bw7;Frontières Franchies;16/02/2013;Boundaries Crossed;07/11/2012;;;149;;;https://www.pokecardex.com/assets/images/logos/BCR.png;https://images.pokemontcg.io/bw7/logo.png;https://images.pokemontcg.io/bw7/symbol.png;BW
8;dv1;Coffre des Dragons;29/09/2012;Dragon Vault;05/10/2012;;;20;;;https://www.pokecardex.com/assets/images/logos/DRV.png;https://images.pokemontcg.io/dv1/logo.png;https://images.pokemontcg.io/dv1/symbol.png;BW
7;bw6;Dragons Exaltés;10/11/2012;Dragons Exalted;15/08/2012;;;124;;;https://www.pokecardex.com/assets/images/logos/DRX.png;https://images.pokemontcg.io/bw6/logo.png;https://images.pokemontcg.io/bw6/symbol.png;BW
