rank;code;fr_name;fr_release;en_name;us_release;jap_name;jap_release;classic_size;full_size;category;fr_url;en_url;symbol_url;bloc_code
39;ex14;Gardiens de Cristal;09/02/2007;Crystal Guardians;01/08/2006;;;100;;;https://www.pokecardex.com/assets/images/logos/CG.png;https://images.pokemontcg.io/ex14/logo.png;https://images.pokemontcg.io/ex14/symbol.png;EX
38;ex13;Fantômes Holon;19/11/2006;Holon Phantoms;01/05/2006;;;110;;;https://www.pokecardex.com/assets/images/logos/HP.png;https://images.pokemontcg.io/ex13/logo.png;https://images.pokemontcg.io/ex13/symbol.png;EX
37;ex12;Créateurs de Légendes;01/10/2006;Legend Maker;01/02/2006;;;92;;;https://www.pokecardex.com/assets/images/logos/LM.png;https://images.pokemontcg.io/ex12/logo.png;https://images.pokemontcg.io/ex12/symbol.png;EX
36;ex11;Espèces Delta;09/06/2006;Delta Species;31/10/2005;;;113;;;https://www.pokecardex.com/assets/images/logos/DS.png;https://images.pokemontcg.io/ex11/logo.png;https://images.pokemontcg.io/ex11/symbol.png;EX
35;ex10;Forces Cachées;24/03/2006;Unseen Forces;01/08/2005;;;115;;;https://www.pokecardex.com/assets/images/logos/UF.png;https://images.pokemontcg.io/ex10/logo.png;https://images.pokemontcg.io/ex10/symbol.png;EX
34;ex9;Emeraude;26/08/2005;Emerald;01/05/2005;;;106;;;https://www.pokecardex.com/assets/images/logos/EM.png;https://images.pokemontcg.io/ex9/logo.png;https://images.pokemontcg.io/ex9/symbol.png;EX
33;ex8;Deoxys;27/05/2005;Deoxys;01/02/2005;;;107;;;https://images.pokemontcg.io/ex8/logo.png;https://images.pokemontcg.io/ex8/logo.png;https://images.pokemontcg.io/ex8/symbol.png;EX
32;ex7;Team Rocket Returns;01/11/2004;Team Rocket Returns;01/11/2004;;;109;;;https://images.pokemontcg.io/ex7/logo.png;https://images.pokemontcg.io/ex7/logo.png;https://images.pokemontcg.io/ex7/symbol.png;EX
31;ex6;Rouge Feu & Vert Feuille;10/11/2004;FireRed & LeafGreen;01/09/2004;;;112;;;https://www.pokecardex.com/assets/images/logos/RFVF.png;https://images.pokemontcg.io/ex6/logo.png;https://images.pokemontcg.io/ex6/symbol.png;EX
30;ex5;Légendes Oubliées;09/12/2005;Hidden Legends;01/06/2004;;;101;;;https://www.pokecardex.com/assets/images/logos/HL.png;https://images.pokemontcg.io/ex5/logo.png;https://images.pokemontcg.io/ex5/symbol.png;EX
29;ex4;Team Magma vs Team Aqua;15/02/2005;Team Magma vs Team Aqua;01/03/2004;;;95;;;https://images.pokemontcg.io/ex4/logo.png;https://images.pokemontcg.io/ex4/logo.png;https://images.pokemontcg.io/ex4/symbol.png;EX
28;ex3;Dragon;28/08/2004;Dragon;24/11/2003;;;97;;;https://images.pokemontcg.io/ex3/logo.png;https://images.pokemontcg.io/ex3/logo.png;https://images.pokemontcg.io/ex3/symbol.png;EX
27;ex2;Tempête de Sable;12/04/2004;Sandstorm;18/09/2003;;;100;;;https://www.pokecardex.com/assets/images/logos/SS.png;https://images.pokemontcg.io/ex2/logo.png;https://images.pokemontcg.io/ex2/symbol.png;EX
26;ex1;Rubis & Saphir;12/12/2003;Ruby & Sapphire;01/07/2003;;;109;;;https://www.pokecardex.com/assets/images/logos/RS.png;https://images.pokemontcg.io/ex1/logo.png;https://images.pokemontcg.io/ex1/symbol.png;EX
25;ecard3;Skyridge;12/05/2003;Skyridge;12/05/2003;;;182;;;https://images.pokemontcg.io/ecard3/logo.png;https://images.pokemontcg.io/ecard3/logo.png;https://images.pokemontcg.io/ecard3/symbol.png;EC
24;ecard2;Aquapolis;01/07/2003;Aquapolis;15/01/2003;;;186;;;https://images.pokemontcg.io/ecard2/logo.png;https://images.pokemontcg.io/ecard2/logo.png;https://images.pokemontcg.io/ecard2/symbol.png;EC
23;ecard1;Expedition;09/03/2003;Expedition Base Set;15/09/2002;;;165;;;https://www.pokecardex.com/assets/images/logos/EX.png;https://images.pokemontcg.io/ecard1/logo.png;https://images.pokemontcg.io/ecard1/symbol.png;EC
22;base6;Legendary Collection;24/05/2002;Legendary Collection;24/05/2002;;;110;;;https://images.pokemontcg.io/base6/logo.png;https://images.pokemontcg.io/base6/logo.png;https://images.pokemontcg.io/base6/symbol.png;BASE
21;neo4;Neo Destiny;01/06/2002;Neo Destiny;28/02/2002;;;113;;;https://images.pokemontcg.io/neo4/logo.png;https://images.pokemontcg.io/neo4/logo.png;https://images.pokemontcg.io/neo4/symbol.png;NEO
20;neo3;Neo Revelation;01/01/2002;Neo Revelation;21/09/2001;;;66;;;https://images.pokemontcg.io/neo3/logo.png;https://images.pokemontcg.io/neo3/logo.png;https://images.pokemontcg.io/neo3/symbol.png;NEO
