fr_name;en_name;code;fr_url;en_url;fr_name_bloc
Mascarade Crépusculaire;Twilight Masquerade;sv6;https://tcg.pokemon.com/assets/img/sv-expansions/twilight-masquerade/collections/fr-fr/p9505-sv06-3d-booster-bundle-right-fr-2x.png;https://tcg.pokemon.com/assets/img/sv-expansions/twilight-masquerade/collections/en-us/p9505-sv06-3d-booster-bundle-right-en-2x.png;
Forces Temporelles;Temporal Forces;sv5;https://alertetgo.com/wp-content/uploads/2024/02/Bundle-lot-de-6-boosters-Cartes-Pokemon-Forces-Temporelles-EV05.webp;https://tcg.pokemon.com/assets/img/sv-expansions/temporal-forces/collections/en-us/P9504_SV05_3D_Booster_Bundle_Right_INT_EN-2x.png;
Destinées de Paldéa;Paldean Fates;sv45;https://tcg.pokemon.com/assets/img/sv-expansions/paldean-fates/collections/fr-fr/p9537-sv04pt5-booster-bundle-fr-2x.png;https://tcg.pokemon.com/assets/img/sv-expansions/paldean-fates/collections/en-us/p9537-sv04pt5-booster-bundle-en-2x.png;
Faille Paradoxe;Paradox Rift;sv4;;https://tcg.pokemon.com/assets/img/sv-expansions/paradox-rift/collections/en-us/P8981_SV04_3D_Booster_Bundle_Outer_Sleeve_EN-2x.png;
151;151;sv151;https://tcg.pokemon.com/assets/img/sv-expansions/151/collections/fr-fr/P8976_SV03pt5_3D_Booster_Bundle_Outer_Sleeve_FR-2x.png;https://tcg.pokemon.com/assets/img/sv-expansions/151/collections/en-us/P8976_SV03pt5_3D_Booster_Bundle_Outer_Sleeve_EN-2x.png;Écarlate et Violet
Flammes Obsidiennes;Obsidian Flames;sv3;;https://tcg.pokemon.com/assets/img/sv-expansions/obsidian-flames/collections/en-us/p8979-sv03-3d-booster-bundle-outer-sleeve-en-2x.png;Écarlate et Violet
Évolutions à Paldea;Paldea Evolved;sv2;;https://tcg.pokemon.com/assets/img/sv-expansions/paldea-evolved/collections/en-us/P8978_SV02_3D_Booster_Bundle_Outer_Sleeve_EN-2x.png;Écarlate et Violet
Écarlate et Violet;Scarlet & Violet;sv1;;https://tcg.pokemon.com/assets/img/sv-expansions/scarlet-violet/collections/en-us/sv01-3d-booster-bundle-outer-sleeve-en-2x.png;Écarlate et Violet
